127.0.0.1 - - [19/Apr/2019:20:35:49 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:35:51 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13608
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:35:51 -0400] "GET /bkp12_MusicJPAWeb/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:36:00 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13608
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:36:00 -0400] "GET /bkp12_MusicJPAWeb/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:36:24 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS?bandName=&searchType= HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:36:25 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=&searchType= HTTP/1.1" 200 67096
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:36:41 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS?bandName=&searchType= HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:37:10 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13605
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:37:45 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13651
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:39:27 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:39:29 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:39:29 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:40:34 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13700
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:40:47 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=&searchType= HTTP/1.1" 200 67096
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:40:48 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS?bandName=&searchType= HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:42:26 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13797
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:42:37 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS?bandName=&searchType= HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:42:51 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=&searchType= HTTP/1.1" 200 67096
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:45:25 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13684
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:45:35 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS HTTP/1.1" 200 67096
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:46:31 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=Fla&searchType= HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:46:57 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13678
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:47:08 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS HTTP/1.1" 200 67096
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:47:11 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:47:25 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:48:09 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13678
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:48:19 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:48:54 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13820
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:49:10 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS HTTP/1.1" 200 55900
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:03 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS HTTP/1.1" 200 67096
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:28 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 13676
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:37 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS HTTP/1.1" 200 67096
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:51 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=Flam&searchType= HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:51 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=Fla&searchType= HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:53 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=Fla&searchType= HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:56 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=ingo&searchType= HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:51:57 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=ingo&searchType= HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:52:02 -0400] "GET /bkp12_MusicJPAWeb/servlets/SongListWS?title=ingo&searchType=ends HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:52:13 -0400] "GET /bkp12_MusicJPAWeb/servlets/AlbumListWS?title=Dar&searchType=begins HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:52:13 -0400] "GET /bkp12_MusicJPAWeb/servlets/AlbumListWS?title=Dark&searchType=begins HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:52:14 -0400] "GET /bkp12_MusicJPAWeb/servlets/AlbumListWS?title=Dar&searchType=begins HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:52:15 -0400] "GET /bkp12_MusicJPAWeb/servlets/AlbumListWS?title=Dar&searchType=begins HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:52:17 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS?bandName=Ker&searchType= HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [19/Apr/2019:20:52:30 -0400] "GET /bkp12_MusicJPAWeb/servlets/ArtistListWS HTTP/1.1" 200 55900
